Time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
0.0,7000.0,1e-06,-0.001608,2e-06,1.310359,7.431412
10.0,7000.0000199999995,13.103591000000002,74.312512,-0.08134502893876908,1.3103589999883791,7.431412018686575
20.0,6999.186569710612,26.207180999883793,148.62663218686575,-0.16267788005373418,1.310206749643689,7.430548583192688
30.0,6997.559790910075,39.30924849632068,222.93211801879266,-0.24398710576697993,1.3099023020376703,7.428821994500828
40.0,6995.1199198524055,52.40827151669738,297.22033796380094,-0.3252632601512614,1.3094457279397016,7.426232653961738
50.0,6991.867287250893,65.50272879609439,371.48266450341833,-0.4064969000389024,1.30883711583522,7.422781063398879
60.0,6987.802318250504,78.5910999544466,445.71047513740706,-0.4876785861358356,1.3080765719419867,7.418467825200671
70.0,6982.925532389147,91.67186567386648,519.8951533894137,-0.5687988841406386,1.3071642202241684,7.413293642400367
80.0,6977.237543547741,104.74350787610815,594.0280898134175,-0.6498483658684159,1.306100202404213,7.4072593187433915
90.0,6970.739059889056,117.80450990015028,668.1006830008514,-0.7308176103793722,1.3048846779724845,7.400365758741989
100.0,6963.430883785261,130.85335667987513,742.1043405882713,-0.8116972051119203,1.3035178241946381,7.3926139677170495
110.0,6955.3139117341425,143.8885349218215,816.0304802654418,-0.8924777470201579,1.3019998361167027,7.384005051826929
120.0,6946.389134263941,156.90853328298854,889.8705307837112,-0.9731498437155496,1.3003309265678487,7.374540218083149
130.0,6936.657635826786,169.911842548667,963.6159329645426,-1.0537041146126405,1.2985113261608117,7.364220774352809
140.0,6926.120594680659,182.89695581027513,1037.2581407080706,-1.1341311920786288,1.2965412832899526,7.353048129347566
150.0,6914.779282759873,195.86236864317465,1110.7886220015464,-1.2144217225866156,1.2944210641269218,7.341023792599064
160.0,6902.635065534007,208.80657928444387,1184.1988599275371,-1.294566367872351,1.2921509526139099,7.328149374420641
170.0,6889.689401855283,221.72808881058296,1257.4803536717436,-1.3745558060942857,1.289731250454454,7.314426585855209
180.0,6875.94384379434,234.6254013151275,1330.6246195302958,-1.454380732996743,1.287162277101786,7.2998572386091505
190.0,6861.4000364643725,247.49702408614536,1403.6231919163872,-1.5340318630760075,1.2844443697446866,7.2844432449721115
200.0,6846.059717833612,260.34146778359224,1476.4676243661083,-1.613499930749139,1.2815778832908358,7.26818661772257
210.0,6829.92471852612,273.15724661650063,1549.149490543334,-1.6927756915253043,1.2785631903476287,7.251089470019038
220.0,6812.996961610867,285.94287851997694,1621.6603852435244,-1.7718499231794198,1.2754006812004393,7.233154015276791
230.0,6795.278462379074,298.69688533198126,1693.9919253962923,-1.8507134269278986,1.2720907637883112,7.214382567030002
240.0,6776.771328109794,311.41779296986437,1766.1357510665923,-1.929357028606281,1.268633863677054,7.194777538779163
250.0,6757.477757823732,324.10413160663495,1838.083526454384,-2.0077715798485376,1.265030424029726,7.174341443823688
260.0,6737.400042025247,336.75443584693215,1909.826940892621,-2.085947959267816,1.2612809055744858,7.153076895079586
270.0,6716.540562432569,349.36724490267704,1981.3577098434166,-2.1638770736384143,1.2573857865697915,7.130986604882104
280.0,6694.901791696184,361.94110276837495,2052.667575892238,-2.241549859078747,1.2533455627669328,7.108073384773227
290.0,6672.486293105397,374.4745583960443,2123.74830973997,-2.3189572822350693,1.2491607473698783,7.084340145273966
300.0,6649.296720283045,386.9661658697431,2194.5917111927097,-2.396090341465734,1.2448318709924198,7.0597898956413125
310.0,6625.335816868388,399.41448457966726,2265.189610149123,-2.472940068025734,1.2403594816126005,7.034425743609784
