Time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
0.0,7000.0,1e-06,-0.001608,2e-06,1.310359,7.431412
10.0,6999.593288793896,13.103337205152547,74.31107275227195,-0.08134345346372797,1.3102828622889844,7.430980220520262
20.0,6998.373162440675,26.205150685695187,148.6151178953478,-0.16267945398839376,1.3100544580273497,7.429684894886894
30.0,6996.339762730952,39.30391889409233,222.9018926367245,-0.24399654960325523,1.3096738137581099,7.427526173630566
40.0,6993.493325964984,52.39811963670023,297.162764190897,-0.32528529053454064,1.3091409737159379,7.4245043076162895
50.0,6989.834182925204,65.4862312506596,371.3891027825652,-0.4065362303035984,1.3084559998220255,7.420619648014263
60.0,6985.362758837779,78.56673278072658,445.572282649492,-0.4877399268246641,1.3076189716768865,7.415872646259067
70.0,6980.079573323201,91.63810415602133,519.7036830448942,-0.5688869435021168,1.3066299865511073,7.410263853997196
80.0,6973.985240335894,104.698826366674,593.7746892392507,-0.6499678503270971,1.305489159374042,7.403793923022955
90.0,6967.080468092874,117.74738164034731,667.776693521412,-0.7309732249733606,1.304196622720457,7.396463605202713
100.0,6959.366058991442,130.7822536186154,741.7010961988931,-0.8118936538922374,1.3027525267951237,7.3882737523875255
110.0,6950.842909515939,143.80192753317826,815.5393065972355,-0.8927197334065726,1.3011570394153638,7.379225316314145
120.0,6941.512010133566,156.80489038189145,889.2827440583208,-0.9734420708035183,1.299410345991547,7.369319348494415
130.0,6931.374445179284,169.78963110459048,962.9228389375199,-1.0540512854260533,1.297512649505544,7.358557000093077
140.0,6920.4313927298,182.75464075868973,1036.4510335995635,-1.1345380097630995,1.2954641704871392,7.34693952179399
150.0,6908.6841244666675,195.69841269453497,1109.858783413015,-1.2148928905381131,1.2932651469884011,7.334468263654792
160.0,6896.134005528502,208.61944273048968,1183.1375577432348,-1.2951065897960188,1.2909158345560194,7.321144674950007
170.0,6882.782494352341,221.51622932773452,1256.2788409437157,-1.3751697859883663,1.288416506201608,7.3069703040026255
180.0,6868.631142504158,234.3872737647595,1329.274133345678,-1.4550731750565782,1.2857674523699776,7.291946798004173
190.0,6853.681594498557,247.23108031152893,1402.1149522458068,-1.5348074715131659,1.2829689809053835,7.276075902823296
200.0,6837.935587607666,260.04615640329865,1474.7928328920189,-1.6143634095207873,1.2800214170157513,7.259359462802864
210.0,6821.3949516592465,272.83101281406556,1547.2993294671428,-1.6937317439690214,1.2769251032348843,7.241799420545648
220.0,6804.061608824053,285.58416382962884,1619.6260160703978,-1.7729032515487344,1.2736803993826578,7.223397816688566
230.0,6785.937573392456,298.3041274202435,1691.7644876965605,-1.8518687318239109,1.2702876825232041,7.204156789665545
240.0,6767.0249515403675,310.98942541284543,1763.7063612127006,-1.9306190083008272,1.2667473469210948,7.184078575459009
250.0,6747.325941084479,323.63858366282824,1835.4432763323766,-2.0091449294944455,1.2630598039955225,7.16316550734004
