Time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
0.0,7000.0,1e-06,-0.001608,2e-06,1.310359,7.431412
10.0,6999.593288793896,13.103337205152547,74.31107275227193,-0.08134345346372795,1.3102828622889844,7.430980220520262
20.0,6998.3731624406755,26.205150685695184,148.61511789534777,-0.16267945398839373,1.3100544580273494,7.429684894886895
30.0,6996.339762730952,39.30391889409232,222.9018926367245,-0.2439965496032552,1.3096738137581097,7.427526173630567
40.0,6993.493325964984,52.398119636700216,297.162764190897,-0.32528529053454064,1.3091409737159376,7.4245043076162895
50.0,6989.834182925204,65.4862312506596,371.3891027825652,-0.4065362303035984,1.308455999822025,7.420619648014264
60.0,6985.362758837779,78.56673278072657,445.57228264949197,-0.4877399268246641,1.3076189716768865,7.415872646259067
70.0,6980.079573323201,91.63810415602131,519.7036830448941,-0.5688869435021168,1.3066299865511073,7.410263853997195
80.0,6973.985240335894,104.69882636667398,593.7746892392507,-0.649967850327097,1.3054891593740419,7.403793923022954
90.0,6967.080468092874,117.7473816403473,667.7766935214119,-0.7309732249733605,1.3041966227204569,7.396463605202712
100.0,6959.366058991442,130.7822536186154,741.701096198893,-0.8118936538922374,1.3027525267951234,7.388273752387525
110.0,6950.842909515939,143.80192753317826,815.5393065972353,-0.8927197334065726,1.3011570394153638,7.379225316314144
120.0,6941.512010133565,156.80489038189143,889.2827440583206,-0.9734420708035182,1.2994103459915467,7.369319348494414
130.0,6931.374445179283,169.78963110459046,962.9228389375198,-1.054051285426053,1.2975126495055438,7.358557000093077
140.0,6920.431392729799,182.7546407586897,1036.4510335995635,-1.1345380097630993,1.295464170487139,7.346939521793989
150.0,6908.684124466667,195.69841269453494,1109.8587834130149,-1.214892890538113,1.2932651469884011,7.334468263654791
160.0,6896.134005528501,208.61944273048965,1183.1375577432345,-1.2951065897960186,1.2909158345560194,7.3211446749500055
170.0,6882.78249435234,221.5162293277345,1256.2788409437155,-1.3751697859883658,1.288416506201608,7.306970304002625
180.0,6868.631142504157,234.38727376475944,1329.2741333456777,-1.4550731750565777,1.2857674523699776,7.291946798004172
190.0,6853.6815944985565,247.23108031152887,1402.1149522458065,-1.5348074715131654,1.2829689809053832,7.276075902823295
200.0,6837.935587607665,260.0461564032986,1474.7928328920186,-1.6143634095207873,1.2800214170157513,7.2593594628028635
210.0,6821.394951659246,272.8310128140655,1547.2993294671426,-1.6937317439690214,1.276925103234884,7.2417994205456475
220.0,6804.061608824052,285.58416382962884,1619.6260160703976,-1.7729032515487342,1.2736803993826575,7.223397816688564
230.0,6785.937573392455,298.3041274202435,1691.7644876965605,-1.8518687318239107,1.2702876825232037,7.204156789665543
240.0,6767.024951540367,310.9894254128454,1763.7063612127006,-1.9306190083008272,1.2667473469210946,7.184078575459008
250.0,6747.325941084479,323.63858366282824,1835.4432763323769,-2.009144929494445,1.2630598039955225,7.163165507340039
260.0,6726.842831226855,336.2501322253523,1906.9668965871763,-2.0874373699918953,1.2592254822724906,7.1414200155972285
270.0,6705.578002288912,348.8226055261653,1978.2689102954882,-2.1654872315129334,1.255244827335014,7.11884462725425
280.0,6683.533925434797,361.3545425319153,2049.341031528395,-2.2432854439672414,1.2511183017713388,7.0954419657762005
290.0,6660.713162384214,373.8444869199357,2120.175001072572,-2.320822966508458,1.2468463851211828,7.071214750764724
300.0,6637.1183651147385,386.29098724748326,2190.762587390079,-2.398090788584799,1.2424295738200124,7.046165797641968
310.0,6612.75227555362,398.6925971204083,2261.0955875749437,-2.475079930986174,1.2378683811413476,7.020298017323406
320.0,6587.617725259156,411.0478753612391,2331.1658283064103,-2.551781446887643,1.233163337137117,6.993614415879562
330.0,6561.71763509163,423.3553861766594,2400.9651667987514,-2.6281864228891254,1.2283149885760622,6.9661180941866725
340.0,6535.055014873888,435.6136993243605,2470.4854917475336,-2.7042859800512105,1.223323898880194,6.937812247566338
350.0,6507.632963041563,447.82139027924796,2539.718724272225,-2.780071274926975,1.2181906480593208,6.908700165414197
360.0,6479.454666283012,459.97704039898457,2608.6568188550295,-2.8555335005896705,1.2129158326436447,6.878785230817661
370.0,6450.523399168993,472.0792370888489,2677.291764275854,-2.930663887656166,1.2075000656144392,6.848070920162777
380.0,6420.84252377213,484.12657396589174,2745.6155845432772,-3.0054537053060284,1.2019439763328141,6.816560802730227
390.0,6390.415489276208,496.1176510223702,2813.6203398214357,-3.0798942622961274,1.1962482104665788,6.784258540280554
400.0,6359.245831575343,508.05107478844104,2881.298127352702,-3.153976907970628,1.1904134299152087,6.751167886628626
410.0,6327.337172863085,519.9254584940945,2948.6410823760543,-3.2276930332662803,1.1844403127329282,6.717292687207404
420.0,6294.693221211483,531.7394222303091,3015.6413790410356,-3.30103407171287,1.1783295530499112,6.682636878621071
430.0,6261.3177701401755,543.4915931094098,3082.291231317183,-3.373991500428713,1.1720818609916188,6.647204488187561
440.0,6227.214698175542,555.1806054246091,3148.582893898838,-3.446556841111096,1.165697962596276,6.610999633470543
450.0,6192.387968399988,566.8051008087152,3214.508663105216,-3.5187216610215333,1.1591785997304977,6.574026521800925
460.0,6156.841627991398,578.3637283919859,3280.0608777756456,-3.5904775739657184,1.1525245300030789,6.536289449787922
470.0,6120.579807752815,589.8551449591116,3345.231920159865,-3.6618162412680806,1.1457365266769504,6.4977928028197445
480.0,6083.606721632405,601.2780151053089,3410.0142168032667,-3.732729372740813,1.1388153785793227,6.458541054553984
490.0,6045.926666233757,612.631011391507,3474.4002394270065,-3.803208727647265,1.1317618900100126,6.41853876639772
500.0,6007.544020316575,623.9128144986076,3538.382505802853,-3.87324611565959,1.1245768806479777,6.377790586977454
510.0,5968.463244287836,635.1221133808012,3601.9535806226913,-3.9428333978105337,1.1172611854560632,6.336301251598888
520.0,5928.688879683434,646.2576054179231,3665.106076362569,-4.011962487439257,1.1098156545839697,6.294075581696641
530.0,5888.225548640429,657.3179965668284,3727.832654141197,-4.080625351131075,1.1022411532694578,6.251118484273948
540.0,5847.077953359899,668.3020015117723,3790.1260245727867,-4.148814009651011,1.0945385617378007,6.207434951332423
550.0,5805.250875560511,679.2083438137748,3851.9789486141467,-4.216520538871061,1.0867087750994928,6.163030059291946
560.0,5762.749175922836,690.0357560589541,3913.384238405919,-4.283737070691038,1.0787527032462294,6.117908968400731
570.0,5719.577793524496,700.7829800058114,3974.3347581078783,-4.3504557939529205,1.0706712707451695,6.072076922135655
580.0,5675.741745266195,711.4487667314503,4034.8234247281744,-4.416668955348579,1.0624654167314915,6.025539246592922
590.0,5631.246125288714,722.0318767767116,4094.843208946441,-4.482368860320779,1.0541360947992582,5.978301349869117
600.0,5586.096104380924,732.5310802902103,4154.387135930665,-4.547547873957353,1.0456842728905986,5.930368721432736
610.0,5540.29692937889,742.9451571712556,4213.448286147724,-4.612198421878447,1.0371109331832256,5.881746931486262
620.0,5493.853922556146,753.2728972116362,4272.019796167498,-4.676312991116734,1.0284170719762968,5.832441630318847
630.0,5446.772481005195,763.513100236258,4330.094859460455,-4.739884130990479,1.0196036995746367,5.782458547649709
640.0,5399.058076010317,773.664576242615,4387.666727188643,-4.802904453969385,1.0106718401713266,5.731803491962269
650.0,5350.716252411758,783.7261455390784,4444.728708989951,-4.865366636533078,1.001622531728688,5.680482349829168
660.0,5301.752627961373,793.6966388819862,4501.274173755593,-4.927263420022169,0.9924568258576589,5.6285010852281765
670.0,5252.172892669782,803.5748976115209,4557.296550400707,-4.98858761148178,0.9831757876955881,5.5758657388491395
680.0,5201.98280814515,813.3597737863553,4612.789328627965,-5.04933208449742,0.9737804957824557,5.522582427391982
690.0,5151.188206923629,823.0501303170533,4667.746059684132,-5.1094897800231385,0.9642720419355372,5.4686573428559
700.0,5099.794991791566,832.6448410982103,4722.1603571094665,-5.169053707201855,0.954651531122524,5.414096751819783
710.0,5047.809135099548,842.1427911393162,4776.025897479882,-5.228016944177748,0.9449200813331167,5.35890699471399
720.0,4995.236678068358,851.5428766943273,4829.336421141789,-5.286372638900645,0.9350788234491028,5.303094485083525
730.0,4942.083730086929,860.8440053899312,4882.0857329395185,-5.344114009922284,0.925128901112939,5.246665708842728
740.0,4888.356468002384,870.0450963524904,4934.2677029352535,-5.401234347184381,0.9150714705948496,5.189627223521551
750.0,4834.061135402224,879.1450803336488,4985.8762671213835,-5.457727012798395,0.904907700658456,5.131985657503513
760.0,4779.20404188877,888.1428998345887,5036.905428125196,-5.5135854418169075,0.8946387724249572,5.07374770925542
770.0,4723.7915623459285,897.0375092289205,5087.34925590582,-5.568803142996532,0.8842658792358705,5.014920146548939
780.0,4667.830136198373,905.8278748841943,5137.2018884433555,-5.623373699552248,0.8737902265143571,4.955509805674129
790.0,4611.326266663227,914.5129752820175,5186.457532420086,-5.677290769903086,0.8632130316251381,4.895523590644991
800.0,4554.286519994326,923.0918011367627,5235.110463893714,-5.730548088409085,0.8525355237330272,4.834968472397165
810.0,4496.717524719163,931.5633555128571,5283.1550289625375,-5.783139466099396,0.84175894366009,4.773851487977837
820.0,4438.625970868596,939.9266539406341,5330.585644422479,-5.8350587913915115,0.8308845437414488,4.712179739727982
830.0,4380.0186091994,948.1807245307383,5377.3967984159,-5.886300030801477,0.8199135876797505,4.649960394456991
840.0,4320.902250409775,956.3246080870668,5423.583051072136,-5.936857229645031,0.8088473503983121,4.587200682609831
850.0,4261.283764347874,964.3573582182364,5469.139035139651,-5.986724512729596,0.7976871178929629,4.523907897426805
860.0,4201.170079213473,972.2780414475625,5514.059456609757,-6.035896085037026,0.7864341870826008,4.4600893940959985
870.0,4140.5681807528445,980.0857373215376,5558.33909533183,-6.084366232397034,0.7750898656584778,4.395752588898552
880.0,4079.485111446953,987.7795385167959,5601.972805619936,-6.132129322151231,0.7636554719322347,4.330904958346813
890.0,4017.9279696930603,995.3585509455518,5644.955516850799,-6.179179803807688,0.7521323346827006,4.265554038315501
900.0,3955.9039089798202,1002.821893859501,5687.282234053059,-6.225512209685952,0.7405217930014774,4.199707423165969
910.0,3893.420137055982,1010.1686999521716,5728.94803848773,-6.271121155552437,0.728825196137325,4.133372764863669
920.0,3830.4839150927887,1017.3981154597119,5769.948088219793,-6.316001341246116,0.7170439033393665,4.0665577720889265
930.0,3767.1025568401556,1024.5093002601056,5810.277618680883,-6.360147551294448,0.7051792836991301,3.999270209341118
940.0,3703.2834277767556,1031.5014279708018,5849.931943222963,-6.403554655519459,0.6932327159914495,3.9315178960363664
950.0,3639.033944254077,1038.3736860447466,5888.9064536629585,-6.446217609633912,0.6812055885142367,3.8633087055988575
960.0,3574.3615726345834,1045.1252758648088,5927.196620818268,-6.488131455827497,0.6690992989271504,3.794650564545874
970.0,3509.2738284240495,1051.755412836587,5964.797995033091,-6.52929132334297,0.6569152540891735,3.7255514515666586
980.0,3443.778275398196,1058.2633264795847,6001.70620669552,-6.569692429042179,0.644654869895125,3.656019396595225
990.0,3377.8825247237087,1064.6482605167482,6037.916966745327,-6.609330077961901,0.6323195711111195,3.586062479877201
1000.0,3311.594234073753,1070.9094729623516,6073.426067172386,-6.6481996638594385,0.6199107912089958,3.5156888310308343
1010.0,3244.9211067380847,1077.0462362082224,6108.229381505682,-6.686296669747903,0.6074299721997367,3.4449066281022565
1020.0,3177.870890727858,1083.0578371082954,6142.322865292846,-6.723616668421131,0.5948785644658909,3.3737240966151183
1030.0,3110.451377875237,1088.943577061488,6175.70255657015,-6.760155322968154,0.5822580265930287,3.302149508614713
1040.0,3042.6704029279144,1094.7027720928813,6208.364576322925,-6.795908387277194,0.5695698252002394,3.2301911817066857
1050.0,2974.5358426386456,1100.3347529332063,6240.305128936337,-6.830871706529093,0.5568154347696972,3.157857478090455
1060.0,2906.0556148498968,1105.8388650966165,6271.520502636463,-6.865041217680132,0.5439963374753131,3.0851568035874517
1070.0,2837.237677573724,1111.2144689567465,6302.00706992164,-6.8984129499342,0.5311140230104936,3.0120976066642826
1080.0,2768.090028066977,1116.460939821041,6331.761287984011,-6.93098302520423,0.5181699884150238,2.938688377450946
1090.0,2698.620701901951,1121.5776680033505,6360.779699121219,-6.962747658562863,0.5051657379010989,2.8649376467542007
1100.0,2628.837772032579,1126.564058894781,6389.058931138237,-6.993703158682288,0.4921027826785204,2.790853985066208
1110.0,2558.7493478562806,1131.419533032794,6416.595697739235,-7.02384592826321,0.47898264077908065,2.7164460015685674
1120.0,2488.3635742715796,1136.1435261685428,6443.386798909481,-7.053172464452881,0.4658068368801533,2.6417223431318484
1130.0,2417.6886307315963,1140.7354893324457,6469.429121287206,-7.081679359252158,0.45257690212751256,2.56669169331075
1140.0,2346.7327302935164,1145.194888897979,6494.71963852541,-7.109363299911547,0.4392943739574001,2.49136277133499
1150.0,2275.504118664167,1149.521206643689,6519.255411643541,-7.13622106931617,0.42596079591786157,2.4157443310960565
1160.0,2204.0110732417857,1153.7139398134163,6543.033589369037,-7.162249546359616,0.41257771748937155,2.3398451601299244
1170.0,2132.261902154117,1157.7726011747168,6566.05140846866,-7.187445706306641,0.3991466939047712,2.263674078595865
1180.0,2060.264943292933,1161.696719075484,6588.306194069617,-7.211806621144668,0.3856692859685356,2.187239938251466
1190.0,1988.0285633450953,1165.485837498759,6609.795359970397,-7.235329459924048,0.3721470598753944,2.1105516214239786
1200.0,1915.561156820273,1169.1395161157238,6630.516408941308,-7.25801148908703,0.35858158702832615,2.03361803997811
1210.0,1842.8711450754233,1172.6573303368707,6650.46693301468,-7.279850072785433,0.3449744438559471,1.9564481342803854
1220.0,1769.9669753361572,1176.0388713613422,6669.644613764689,-7.300842673186946,0.3313272116293164,1.8790508721601986
1230.0,1696.857119715096,1179.28374622444,6688.047222576781,-7.320986850770046,0.3176414762781779,1.80143524786767
1240.0,1623.550074227336,1182.3915778432875,6705.67262090665,-7.340280264607492,0.3039188282066613,1.7236102810284342
1250.0,1550.054357803136,1185.3620050606519,6722.518760528759,-7.358720672638356,0.2901608621084628,1.6455850155954799
1260.0,1476.378511297943,1188.1946826869132,6738.583683774358,-7.376305931928565,0.27636917678152795,1.5673685187981605
1270.0,1402.5310964998673,1190.8892815401787,6753.865523758988,-7.393033998919936,0.26254537494225627,1.4889698800885038
1280.0,1328.5206951347272,1193.4454884845352,6768.362504599417,-7.408902929667645,0.24869106303925242,1.4103982100849348
1290.0,1254.3559078687772,1195.8630064664394,6782.072941620022,-7.423910880066132,0.2348078510666418,1.3316626395135418
1300.0,1180.045353309232,1198.1415545492375,6794.99524154856,-7.4380561060633985,0.2208973523769751,1.2527723181470052
1310.0,1105.5976670027103,1200.2808679458121,6807.127902701317,-7.451336963863676,0.20696118349374282,1.1737364137413122
1320.0,1031.021500431706,1202.2806980493533,6818.469515157618,-7.463751910118461,0.19300096392352034,1.094564110970383
1330.0,956.32552000921,1204.1408124622471,6829.018760923668,-7.475299502105841,0.17901831596776738,1.0152646103587295
1340.0,881.5184060715951,1205.8609950230848,6838.7744140857185,-7.485978397898173,0.1650148645343019,0.9358471272122736
1350.0,806.6088518698856,1207.4410458317802,6847.735340952526,-7.495787356518007,0.15099223694847164,0.8563208905474463
1360.0,731.6055625595228,1208.8807812727996,6855.900500187094,-7.5047252380823055,0.13695206276404434,0.7766951420186956
1370.0,656.5172541887497,1210.1800340365016,6863.268942927684,-7.5127910039348995,0.12289597357383944,0.6969791348445235
1380.0,581.3526526857287,1211.3386531385772,6869.839812898092,-7.519983716767197,0.10882560282012227,0.6171821327321803
1390.0,506.120492844512,1212.3565039375974,6875.612346507134,-7.526302540727092,0.09474258560478391,0.537313408801141
1400.0,430.82951730998013,1213.2334681506575,6880.5858729373995,-7.5317467415161055,0.08064855849932777,0.4573822445054863
1410.0,355.4884755618702,1213.9694438671245,6884.759814223196,-7.536315686474712,0.06654515935468562,0.3773979285553159
1420.0,280.10612289800855,1214.5643455604777,6888.1336853177145,-7.540008844655853,0.05243402711088489,0.29736975583731834
1430.0,204.69121941686765,1215.0181040982504,6890.707094149395,-7.5428257868866435,0.038316801606589374,0.21730702633462398
1440.0,129.25252899956524,1215.3306667500601,6892.479741667488,-7.5447661858182355,0.02419512338853554,0.13721904404606453
1450.0,53.798818291423935,1215.5019971937386,6893.451421876809,-7.545829815963867,0.010070633520886583,0.057115115904966755
1460.0,-21.6611443167905,1215.5320755195512,6893.622021861669,-7.54601655372505,-0.004055026605473608,-0.02299544930239494
1470.0,-97.11858970783365,1215.4208982325117,6892.991521799001,-7.545326377405941,-0.01818021546368456,-0.10310334201856133
1480.0,-172.5647490570313,1215.1684782527866,6891.559994960661,-7.543759367215862,-0.032303291581669016,-0.18319925299674064
1490.0,-247.99085485129424,1214.7748449141957,6889.327607704911,-7.541315705259964,-0.046422613732886406,-0.26327387438262473
1500.0,-323.3881419079809,1214.2400439608002,6886.294619457089,-7.537995675518079,-0.06053654112705773,-0.3433179007960433
1510.0,-398.74784839348865,1213.5641375415898,6882.461382679453,-7.533799663811708,-0.07464343360083982,-0.4233220304123309
1520.0,-474.0612168414564,1212.7472042032578,6877.82834283023,-7.528728157759179,-0.08874165180842666,-0.5032769660432799
1530.0,-549.3194951704593,1211.7893388810742,6872.396038311847,-7.522781746718991,-0.10282955741205574,-0.5831734162175558
1540.0,-624.5139377010778,1210.6906528878535,6866.165100408356,-7.515961121721314,-0.11690551327239716,-0.663002096260447
1550.0,-699.6358061722229,1209.4512739010183,6859.1362532120775,-7.508267075387684,-0.13096788363880368,-0.7427537293728256
1560.0,-774.6763707565987,1208.071345947762,6851.310313539457,-7.499700501838898,-0.1450150343393991,-0.8224190477091923
1570.0,-849.6269110751857,1206.5510293883115,6842.688190836134,-7.490262396591099,-0.15904533297098342,-0.9019887934546807
1580.0,-924.4787172106254,1204.890500897292,6833.270887071262,-7.47995385644009,-0.1730571490887323,-0.981453719900897
1590.0,-999.2230907193892,1203.089953443196,6823.05949662107,-7.468776079333878,-0.1870488543956689,-1.0608045925204674
1600.0,-1073.8513456426151,1201.1495962659565,6812.055206141683,-7.456730364233452,-0.2010188229318864,-1.1400321900401718
1610.0,-1148.3548095154906,1199.0696548526348,6800.25929443122,-7.443818110961837,-0.21496543126349837,-1.2191273055125345
1620.0,-1222.724824375072,1196.850370911213,6787.673132281188,-7.430040820041417,-0.22888705867129638,-1.298080747385753
1630.0,-1296.952747766414,1194.492002342508,6774.298182317183,-7.415400092519563,-0.24278208733909132,-1.3768833405718366
1640.0,-1371.0299537468993,1191.9948232101997,6760.13599882892,-7.399897629782568,-0.2566489025417178,-1.4555259275128303
1650.0,-1444.9478338886495,1189.3591237089827,6745.188227589602,-7.383535233357935,-0.2704858928326795,-1.5339993692450031
1660.0,-1518.6977982788999,1186.5852101308424,6729.456605664681,-7.366314804705026,-0.2842914502314129,-1.6122945464608762
1670.0,-1592.2712765182225,1183.6734048294616,6712.942961209979,-7.348238344994081,-0.2980639704101488,-1.690402360568964
1680.0,-1665.6597187164818,1180.6240461827601,6695.64921325925,-7.329307954873675,-0.3118018528803494,-1.7683137347511109
1690.0,-1738.8545964864086,1177.4374885535713,6677.577371501165,-7.309525834226594,-0.3255035011786982,-1.846019615017295
1700.0,-1811.84740393467,1174.114102248463,6658.72953604577,-7.288894281914196,-0.3391673230526238,-1.9235109712577818
1710.0,-1884.6296586503333,1170.6542734747031,6639.107897180434,-7.267415695509249,-0.35279173064533287,-2.000778798292501
1720.0,-1957.192902690594,1167.05840429538,6618.7147351153135,-7.245092571017326,-0.36637514068033294,-2.0778141169175255
1730.0,-2029.528703563662,1163.3269125826785,6597.55241971838,-7.221927502586734,-0.37991597464542326,-2.154607974948533
1740.0,-2101.628655208695,1159.4602319693195,6575.62341024001,-7.197923182207049,-0.39341265897613104,-2.231151448261129
1750.0,-2173.484378972651,1155.4588117981675,6552.930255027204,-7.173082399396291,-0.4068636252385735,-2.3074356418279054
1760.0,-2245.0875245839675,1151.3231170700135,6529.475591227441,-7.147408040876751,-0.4202673103117239,-2.3834516907521204
1770.0,-2316.4297711229315,1147.0536283895374,6505.2621444822225,-7.120903090239524,-0.43362215656905867,-2.4591907612978754
1780.0,-2387.502827988645,1142.650841909457,6480.292728610324,-7.0935706275977894,-0.44692661205956835,-2.5346440519166733
1790.0,-2458.2984358624667,1138.115269272871,6454.570245280807,-7.065413829228876,-0.4601791306881066,-2.6098027942702324
1800.0,-2528.808367667814,1133.4474375538018,6428.097683675816,-7.0364359672051515,-0.4733781723950607,-2.6846582542494466
1810.0,-2599.024429526225,1128.6478891959432,6400.878120143213,-7.006640409013769,-0.4865222033353191,-2.759201732989358
1820.0,-2668.938461709557,1123.7171819496261,6372.914717839071,-6.976030617165342,-0.4996096960565179,-2.833424567880048
1830.0,-2738.542339588219,1118.655888807,6344.210726360094,-6.944610148791565,-0.5126391296765438,-2.9073181335733005
1840.0,-2807.827974575323,1113.4645979354484,6314.76948136598,-6.912382655231844,-0.5256089900602737,-2.9808738429849457
1850.0,-2876.787315066652,1108.143912609237,6284.594404191786,-6.879351881608977,-0.5385177699955306,-3.054083148292753
1860.0,-2945.4123473763248,1102.6944511394088,6253.689001450348,-6.845521666393936,-0.5513639693682341,-3.1269375419297596
1870.0,-3013.6950966680556,1097.1168468019307,6222.056864624765,-6.810895940959802,-0.564146095336727,-3.1994285575729235
1880.0,-3081.627627881902,1091.4117477641003,6189.701669651053,-6.7754787291249094,-0.5768626625052561,-3.271547771126988
1890.0,-3149.2020466563863,1085.5798170092235,6156.627176490956,-6.739274146685228,-0.5895121930965884,-3.3432868017034267
1900.0,-3216.410500245891,1079.6217322595703,6122.837228695011,-6.7022864009360905,-0.6020932171237411,-3.414637312594379
1910.0,-3283.2451784332156,1073.5381858976173,6088.335752955892,-6.664519790183245,-0.6146042725608066,-3.485591012241448
1920.0,-3349.6983144371925,1067.3298848855866,6053.12675865209,-6.62597870324337,-0.6270439055128534,-3.5561396551992477
1930.0,-3415.7621858152547,1060.9975506832895,6017.214337381994,-6.5866676189340465,-0.6394106703848799,-3.6262750430935986
1940.0,-3481.429115360851,1054.5419191642884,5980.6026624884025,-6.546591105553285,-0.651703130049806,-3.695989025574246
1950.0,-3546.6914719956058,1047.9637405303795,5943.295988573553,-6.505753820348636,-0.6639198560154791,-3.7652735012620018
1960.0,-3611.541671656114,1041.2637792244147,5905.29865100469,-6.4641605089759935,-0.6760594285906778,-3.834120418690196
1970.0,-3675.9721781752787,1034.4428138414655,5866.615065410265,-6.421816004948094,-0.6881204370500912,-3.9025217772403247
1980.0,-3739.9755041580797,1027.5016370383428,5827.249727166793,-6.378725229072826,-0.7001014797982579,-3.9704696280717893
1990.0,-3803.5442118516703,1020.4410554414844,5787.207210876457,-6.3348931888813835,-0.7120011645324436,-4.0379560750456225
2000.0,-3866.6709140097137,1013.2618895532167,5746.492169835494,-6.2903249780463515,-0.7238181084044382,-4.104973275642089
2010.0,-3929.3482747508433,1005.9649736564061,5705.109335493445,-6.245025775789772,-0.7355509381812548,-4.171513441872046
2020.0,-3991.569010411156,998.5511557175068,5663.063516903311,-6.199000846281274,-0.7471982904047116,-4.237568841181983
2030.0,-4053.325890390638,991.0212972880208,5620.359600162709,-6.152255538026333,-0.7587588115498766,-4.303131797352608
2040.0,-4114.611737993425,983.3762734043764,5577.002547846054,-6.1047952832447185,-0.7702311581823592,-4.368194691390888
2050.0,-4175.419431261795,975.6169724862431,5532.99739842787,-6.056625597239233,-0.781613997114429,-4.432749962415443
2060.0,-4235.741903803801,967.7442962332873,5488.34926569727,-6.0077520777547795,-0.7929060055599434,-4.496790108535183
2070.0,-4295.572145614452,959.759159520389,5443.063338163695,-5.958180404327854,-0.8041058712880669,-4.560307687721098
2080.0,-4354.9032038903315,951.6624902913231,5397.144878453958,-5.907916337626532,-0.8152122927757629,-4.623295318671078
2090.0,-4413.728183837577,943.4552294509258,5350.599222700678,-5.856965718781034,-0.8262239793590431,-4.685745681667688
2100.0,-4472.040249473113,935.1383307557523,5303.4317799221835,-5.805334468704926,-0.8371396513829523,-4.747651519428783
2110.0,-4529.832624419059,926.7127607032422,5255.648031393927,-5.753028587407066,-0.8479580403502766,-4.809005637950862
2120.0,-4587.098592690192,918.1794984194034,5207.253530011519,-5.700054153294344,-0.858677889068952,-4.869800907345075
2130.0,-4643.831499474409,909.5395355450295,5158.253899645426,-5.6464173224653225,-0.8692979517981628,-4.930030262665779
2140.0,-4700.024751906077,900.7938761204623,5108.654834487435,-5.592124327994837,-0.879816994393106,-4.989686704731542
2150.0,-4755.671819832176,891.9435364689137,5058.462098388933,-5.537181479209668,-0.8902337944484097,-5.04876330093851
