Time (s),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
0.0,7000.0,1e-06,-0.001608,2e-06,1.310359,7.431412
10.0,6999.593284855307,13.103590999941897,74.31251209343289,-0.081342665461933,1.310282861552081,7.430980216340896
20.0,6998.373146690762,26.20565823104162,148.61799632681792,-0.1626778771611197,1.310054455082128,7.429684878183358
30.0,6996.3397273120845,39.30468010158445,222.90620965710002,-0.2439941823039021,1.3096738071406073,7.427526136100318
40.0,6993.493263044684,52.39913437385376,297.1685190488243,-0.3252821302951452,1.3091409619746068,7.424504241027194
50.0,6989.834084706182,65.48749934107659,371.3962944776439,-0.40653227383716195,1.3084559815226873,7.420619544232694
60.0,6985.362617567941,78.56825400430752,445.5809099334781,-0.4877351700282542,1.3076189454076748,7.415872497277931
70.0,6980.079381305616,91.6398782492301,519.7137444232025,-0.568881381460741,1.3066299509273955,7.41026365196389
80.0,6973.984989938725,104.70085302285543,593.7861829727559,-0.6499614773183473,1.3054891130433544,7.403793660267209
90.0,6967.080151759249,117.74966051009719,667.7896176285467,-0.7309660344728239,1.3041965643673563,7.396463274264316
100.0,6959.36566924927,130.78478431020255,741.7154484580423,-0.8118856385796719,1.302752455146077,7.388273346043915
110.0,6950.842438987655,143.80470961301873,815.5550845494249,-0.8927108851728432,1.3011569532435778,7.379224827607832
120.0,6941.511451545813,156.80792337507413,889.2999450101988,-0.9734323807582912,1.2994102441217745,7.369318770760241
130.0,6931.37379137249,169.7929144954542,962.9414599646299,-1.0540407439062407,1.297512530818855,7.358556326985274
140.0,6920.430636667687,182.7581739914512,1036.4710715499043,-1.134526606342055,1.2954640339256547,7.346938747313027
150.0,6908.683259245649,195.7021951739673,1109.8802349108905,-1.2148806140355666,1.2932649915599863,7.334467382173996
160.0,6896.133024386976,208.62347382265096,1183.1604191933843,-1.2950934282887518,1.2909156593389348,7.321143681241929
170.0,6882.781390679874,221.52050836074602,1256.3031085357288,-1.3751557268216155,1.288416310349111,7.306969193265151
180.0,6868.629909850543,234.3918000296332,1329.299803058687,-1.455058204856165,1.2857672351148768,7.291945565886344
190.0,6853.68022658275,247.23585306304355,1402.1420198534556,-1.5347915761983442,1.2829687415645386,7.276074545450827
200.0,6837.934078326576,260.05117486092394,1474.821293967704,-1.6143465743178012,1.2800211549945169,7.259357976803352
210.0,6821.393295096394,272.8362761629339,1547.3291793895228,-1.6937139534253658,1.2769248180314954,7.24179780307344
220.0,6804.059799258069,285.5896712215539,1619.6572500291727,-1.7728844895481102,1.273680090592553,7.223396065449278
230.0,6785.935605305432,298.3098779747849,1691.7971006985085,-1.8518489816018673,1.270287349843284,7.204154902940212
240.0,6767.022819626031,310.99541821841956,1763.7403480879768,-1.9305982524610823,1.2667469901539126,7.184076552127849
250.0,6747.323640256211,323.6448177778632,1835.4786317410656,-2.009123150025872,1.2630594230534025,7.163163346905818
260.0,6726.840356625514,336.25660667948756,1907.0036150260933,-2.0874145482861706,1.2592250771815752,7.141417718208201
270.0,6705.575349290486,348.82931932149467,1978.3069861052295,-2.1654633483828314,1.2552443982392334,7.118842193726679
280.0,6683.531089657857,361.3614946442722,2049.3804589006268,-2.2432604796655706,1.2511178489363002,7.095439397616416
290.0,6660.710139697175,373.8516763002207,2120.2157740575576,-2.3207969007476175,1.2468459089379809,7.071212050190725
300.0,6637.1151516429045,386.2984128230318,2190.8046999044413,-2.3980636005569638,1.2424290748089506,7.046162967604543
310.0,6612.748867686035,398.7002577963996,2261.1390334096486,-2.4750515993840714,1.2378678599555777,7.020295061526753
